data;evento
06/07/1982;Guerra Irã-Iraque
07/07/1982;Guerra Irã-Iraque
08/07/1982;Guerra Irã-Iraque
09/07/1982;Guerra Irã-Iraque
10/07/1982;Guerra Irã-Iraque
11/07/1982;Guerra Irã-Iraque
12/07/1982;Guerra Irã-Iraque
13/07/1982;Guerra Irã-Iraque
14/07/1982;Guerra Irã-Iraque
15/07/1982;Guerra Irã-Iraque
16/07/1982;Guerra Irã-Iraque
17/07/1982;Guerra Irã-Iraque
18/07/1982;Guerra Irã-Iraque
19/07/1982;Guerra Irã-Iraque
20/07/1982;Guerra Irã-Iraque
21/07/1982;Guerra Irã-Iraque
22/07/1982;Guerra Irã-Iraque
23/07/1982;Guerra Irã-Iraque
24/07/1982;Guerra Irã-Iraque
25/07/1982;Guerra Irã-Iraque
26/07/1982;Guerra Irã-Iraque
27/07/1982;Guerra Irã-Iraque
28/07/1982;Guerra Irã-Iraque
29/07/1982;Guerra Irã-Iraque
30/07/1982;Guerra Irã-Iraque
31/07/1982;Guerra Irã-Iraque
01/08/1982;Guerra Irã-Iraque
02/08/1982;Guerra Irã-Iraque
03/08/1982;Guerra Irã-Iraque
04/08/1982;Guerra Irã-Iraque
05/08/1982;Guerra Irã-Iraque
06/08/1982;Guerra Irã-Iraque
07/08/1982;Guerra Irã-Iraque
08/08/1982;Guerra Irã-Iraque
09/08/1982;Guerra Irã-Iraque
10/08/1982;Guerra Irã-Iraque
11/08/1982;Guerra Irã-Iraque
12/08/1982;Guerra Irã-Iraque
13/08/1982;Guerra Irã-Iraque
14/08/1982;Guerra Irã-Iraque
15/08/1982;Guerra Irã-Iraque
16/08/1982;Guerra Irã-Iraque
17/08/1982;Guerra Irã-Iraque
18/08/1982;Guerra Irã-Iraque
19/08/1982;Guerra Irã-Iraque
20/08/1982;Guerra Irã-Iraque
